City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
270,Pemba,18,MZ,1595626269,70,-12.97,40.52,72.1,14.67
271,Kathmandu,75,NP,1595626269,100,27.72,85.32,69.8,2.24
272,Bilma,1,NE,1595626269,16,18.69,12.92,86.52,2.15
273,Machalí,1,CL,1595626269,47,-34.18,-70.67,57.2,5.82
274,Cabo San Lucas,5,MX,1595626115,58,22.89,-109.91,93,11.41
275,Vao,93,NC,1595626269,81,-22.67,167.48,71.19,19.82
276,Cap Malheureux,26,MU,1595626269,50,-19.98,57.61,68,8.99
277,Sawākin,81,SD,1595626269,53,19.11,37.33,89.53,4.27
278,Da Lat,99,VN,1595626024,100,11.95,108.44,59.58,0.09
279,Valle de Bravo,75,MX,1595626269,49,19.18,-100.13,69.8,16.11
280,Tazovsky,0,RU,1595626270,80,67.47,78.7,46.94,10.2
281,Koani,20,TZ,1595626270,73,-6.13,39.28,75.2,8.05
282,Harper,77,LR,1595626270,85,4.38,-7.72,75.56,10.42
283,Hirara,100,JP,1595626270,79,24.8,125.28,84.97,11.36
284,Kyren,100,RU,1595626270,81,51.68,102.14,57.79,1.03
285,Faanui,0,PF,1595626270,77,-16.48,-151.75,77.38,20.54
286,Kollam,40,IN,1595626270,88,8.88,76.6,78.8,3.31
287,Effingham County,40,US,1595626038,55,32.37,-81.33,89.6,6.93
288,Rockhampton,90,AU,1595626270,93,-23.38,150.5,57.2,2.91
289,Mahébourg,75,MU,1595626270,56,-20.41,57.7,68,16.11
290,Payo,54,ID,1595626270,95,-3.75,103.64,70.38,1.7
291,Szászvár,100,HU,1595626270,82,46.28,18.38,66.79,4.36
292,Uyuni,0,BO,1595626271,41,-20.46,-66.83,41.94,14.79
293,Envira,66,BR,1595626271,75,-7.3,-70.22,82.02,1.01
294,Forsytheganj,100,BY,1595626271,74,52.63,29.73,55.24,7.2
295,Mount Gambier,54,AU,1595626271,93,-37.83,140.77,35.6,4.76
296,Sanguéya,100,GN,1595626271,95,10.7,-14.37,75.52,4.65
297,Koungou,27,YT,1595626271,61,-12.73,45.2,77,19.46
298,Alcúdia,8,ES,1595626271,65,39.85,3.12,78.8,3.36
299,Bahía Blanca,33,AR,1595625983,65,-38.72,-62.27,41.81,10.42
300,Manggar,65,ID,1595626271,81,-2.88,108.27,79.65,11.65
301,Pāthri,73,IN,1595626272,89,19.25,76.45,75.34,5.64
302,Sobolevo,33,RU,1595626071,86,54.43,31.9,51.42,5.77
303,Kloulklubed,97,PW,1595626272,74,7.04,134.26,84.65,11.52
304,Ambilobe,88,MG,1595626272,55,-13.2,49.05,70.84,4.72
305,Aklavik,75,CA,1595626272,48,68.22,-135.01,66.2,3.36
306,Kupino,99,RU,1595626272,95,54.37,77.3,59.32,2.91
307,Statesboro,1,US,1595626272,55,32.45,-81.78,89.6,6.93
308,Kiryat Gat,0,IL,1595626272,61,31.61,34.76,80.01,3.49
309,Hearst,34,CA,1595626272,33,49.68,-83.67,84.47,9.75
310,Touros,20,BR,1595626272,78,-5.2,-35.46,77,6.93
